A,B,C,D,isolate,uniprod_id
coo:CCU_01400,CDS,134111..134296,hypothetical protein,T02583,
coo:CCU_01420,CDS,136281..136727,Membrane protein implicated in regulation of membrane protease activity,T02583,
coo:CCU_01440,CDS,complement(138549..140837),Aconitase A,T02583,
coo:CCU_01460,CDS,142257..143474,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",T02583,
coo:CCU_01480,CDS,144275..144577,"2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family",T02583,
coo:CCU_01490,CDS,144578..145759,"pyruvate ferredoxin oxidoreductase, alpha subunit",T02583,
coo:CCU_01500,CDS,145773..146708,"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, beta subunit",T02583,
coo:CCU_01530,CDS,148497..149549,Enterochelin esterase and related enzymes,T02583,
coo:CCU_01540,CDS,complement(149550..151400),Glycosidases,T02583,
coo:CCU_01550,CDS,complement(151515..152480),"Sugar kinases, ribokinase family",T02583,
coo:CCU_01560,CDS,complement(152870..153070),cold-shock DNA-binding protein family,T02583,
coo:CCU_01570,CDS,complement(153221..155773),glycogen branching enzyme,T02583,
coo:CCU_01580,CDS,complement(155798..156478),hypothetical protein,T02583,
coo:CCU_01600,CDS,complement(157354..158373),"DNA polymerase III, delta subunit",T02583,
coo:CCU_01610,CDS,158637..159515,pyridoxal phosphate synthase yaaD subunit,T02583,
coo:CCU_01620,CDS,159517..160080,pyridoxal phosphate synthase yaaE subunit,T02583,
coo:CCU_01630,CDS,complement(160171..161121),Uncharacterized conserved protein,T02583,
coo:CCU_01650,CDS,complement(163681..164595),Sporulation and spore germination.,T02583,
coo:CCU_01660,CDS,complement(164626..166101),Signal transduction histidine kinase,T02583,
coo:CCU_01670,CDS,complement(166103..166789),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_01680,CDS,complement(166819..167436),competence protein ComEA helix-hairpin-helix repeat region,T02583,
coo:CCU_01690,CDS,complement(167765..168655),acetylglutamate kinase,T02583,
coo:CCU_01710,CDS,171035..172273,argininosuccinate synthase,T02583,
coo:CCU_01750,CDS,complement(175768..176928),"ABC-type multidrug transport system, permease component",T02583,
coo:CCU_01760,CDS,complement(176915..178078),hypothetical protein,T02583,
coo:CCU_01770,CDS,complement(178164..179111),"ABC-type multidrug transport system, ATPase component",T02583,
coo:CCU_01780,CDS,complement(179108..179284),hypothetical protein,T02583,
coo:CCU_01790,CDS,179414..180571,Signal transduction histidine kinase,T02583,
coo:CCU_01800,CDS,180625..181278,Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,T02583,
coo:CCU_01810,CDS,complement(181393..182007),Bacterial SH3 domain.,T02583,
coo:CCU_01820,CDS,182288..183013,ribosomal small subunit pseudouridine synthase A,T02583,
coo:CCU_01830,CDS,complement(183065..184177),N-acetylmuramoyl-L-alanine amidase,T02583,
coo:CCU_01840,CDS,complement(184284..185555),Aspartyl aminopeptidase,T02583,
coo:CCU_01860,CDS,complement(187937..188491),Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_01880,CDS,complement(188816..189712),hypothetical protein,T02583,
coo:CCU_01890,CDS,complement(189779..190255),Uncharacterized conserved protein,T02583,
coo:CCU_01930,CDS,complement(191850..192206),hypothetical protein,T02583,
coo:CCU_01940,CDS,complement(192284..192913),S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase),T02583,
coo:CCU_01970,CDS,complement(196007..197026),"phenylalanyl-tRNA synthetase, alpha subunit",T02583,
coo:CCU_01980,CDS,complement(197781..197960),hypothetical protein,T02583,
coo:CCU_02000,CDS,complement(198273..199265),Predicted membrane protein,T02583,
coo:CCU_02010,CDS,complement(199284..200957),SpoIID/LytB domain,T02583,
coo:CCU_02020,CDS,201353..201931,hypothetical protein,T02583,
coo:CCU_02030,CDS,201961..203190,6-phosphofructokinase,T02583,
coo:CCU_02040,CDS,complement(203257..204822),"glutamate synthases, NADH/NADPH, small subunit",T02583,
coo:CCU_02050,CDS,complement(204825..209372),Glutamate synthase domain 2,T02583,
coo:CCU_02060,CDS,complement(209707..212037),cell envelope-related function transcriptional attenuator common domain,T02583,
coo:CCU_02070,CDS,212242..212970,Glycosyltransferases involved in cell wall biogenesis,T02583,
coo:CCU_02080,CDS,213034..214257,UDP-glucose pyrophosphorylase,T02583,
coo:CCU_02110,CDS,complement(219168..219455),"glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, C subunit",T02583,
coo:CCU_02120,CDS,complement(219795..221324),hypothetical protein,T02583,
coo:CCU_02140,CDS,complement(221701..222762),Zn-finger in Ran binding protein and others.,T02583,
coo:CCU_02150,CDS,complement(222786..223319),Nitroreductase,T02583,
coo:CCU_02160,CDS,complement(223376..223729),Lactoylglutathione lyase and related lyases,T02583,
coo:CCU_02170,CDS,complement(223939..225147),"isocitrate dehydrogenase, NADP-dependent, eukaryotic type",T02583,
coo:CCU_02180,CDS,complement(225320..226300),"birA, biotin-[acetyl-CoA-carboxylase] ligase region",T02583,
coo:CCU_02190,CDS,complement(226281..226850),hypothetical protein,T02583,
coo:CCU_02200,CDS,227245..228054,Na+-driven multidrug efflux pump,T02583,
coo:CCU_02210,CDS,228056..228646,Na+-driven multidrug efflux pump,T02583,
coo:CCU_02220,CDS,complement(228718..229569),AraC-type DNA-binding domain-containing proteins,T02583,
coo:CCU_02230,CDS,229706..230647,Beta-mannanase,T02583,
coo:CCU_02240,CDS,complement(230688..231830),Signal transduction histidine kinase,T02583,
coo:CCU_02280,CDS,233701..234609,Thiol-disulfide isomerase and thioredoxins,T02583,
coo:CCU_02300,CDS,complement(237635..237739),hypothetical protein,T02583,
coo:CCU_02310,CDS,complement(237917..238066),hypothetical protein,T02583,
coo:CCU_02320,CDS,complement(238063..239403),"putative efflux protein, MATE family",T02583,
coo:CCU_02360,CDS,complement(242781..244064),adenylosuccinate synthase,T02583,
coo:CCU_02370,CDS,244473..245351,Transcriptional regulator,T02583,
coo:CCU_02380,CDS,complement(245423..246097),"haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED",T02583,
coo:CCU_02390,CDS,complement(246130..247329),"sodium/proton antiporter, CPA1 family (TC 2.A.36)",T02583,
coo:CCU_02400,CDS,complement(247447..247872),Ketopantoate reductase,T02583,
coo:CCU_02410,CDS,complement(247910..248035),hypothetical protein,T02583,
coo:CCU_02420,CDS,248253..248612,"transcriptional repressor, CopY family",T02583,
coo:CCU_02430,CDS,248638..250170,"Antirepressor regulating drug resistance, predicted signal transduction N-terminal membrane component",T02583,
coo:CCU_02460,CDS,complement(252156..252446),hypothetical protein,T02583,
coo:CCU_02480,CDS,complement(253338..254006),hypothetical protein,T02583,
coo:CCU_02490,CDS,complement(254059..254427),Uncharacterized conserved protein,T02583,
coo:CCU_02520,CDS,complement(256702..256887),hypothetical protein,T02583,
coo:CCU_02550,CDS,complement(259171..260484),plasmid mobilization system relaxase,T02583,
coo:CCU_02560,CDS,complement(260646..260963),hypothetical protein,T02583,
coo:CCU_02570,CDS,complement(261601..261825),hypothetical protein,T02583,
coo:CCU_02580,CDS,complement(261852..261923),hypothetical protein,T02583,
coo:CCU_02590,CDS,262128..263168,hypothetical protein,T02583,
coo:CCU_02610,CDS,complement(264294..265916),"ABC-type transport system, involved in lipoprotein release, permease component",T02583,
coo:CCU_02620,CDS,complement(265931..266596),"ABC-type antimicrobial peptide transport system, ATPase component",T02583,
coo:CCU_02630,CDS,complement(266773..267804),"His Kinase A (phosphoacceptor) domain./Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.",T02583,
coo:CCU_02640,CDS,complement(267801..268493),Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,T02583,
coo:CCU_02650,CDS,complement(268705..268842),Helix-turn-helix.,T02583,
coo:CCU_02670,CDS,complement(269748..270194),uncharacterized domain 1,T02583,
coo:CCU_02680,CDS,complement(270248..271735),sodium/pantothenate symporter,T02583,
coo:CCU_02690,CDS,complement(271725..272000),Protein of unknown function (DUF997).,T02583,
coo:CCU_02700,CDS,complement(272203..272478),Protein of unknown function (DUF2442).,T02583,
coo:CCU_02710,CDS,complement(272513..272773),hypothetical protein,T02583,
coo:CCU_02720,CDS,complement(273044..274498),adenylosuccinate lyase,T02583,
coo:CCU_02740,CDS,complement(274898..276373),amidophosphoribosyltransferase,T02583,
coo:CCU_02750,CDS,complement(276763..278118),phosphoglucosamine mutase,T02583,
coo:CCU_02760,CDS,complement(278138..279052),conserved protein of unknown function cotranscribed with Bmr (bmrU),T02583,
coo:CCU_02770,CDS,complement(279092..279769),preQ(0) biosynthesis protein QueC,T02583,
coo:CCU_02780,CDS,complement(279869..280462),GTP cyclohydrolase I,T02583,
coo:CCU_02800,CDS,complement(281230..281667),preQ(0) biosynthesis protein QueD,T02583,
coo:CCU_02810,CDS,complement(281810..283297),threonine synthase,T02583,
coo:CCU_02820,CDS,complement(283523..284380),3D domain.,T02583,
coo:CCU_02830,CDS,complement(284691..285659),tRNA-U20-dihydrouridine synthase,T02583,
coo:CCU_02840,CDS,complement(285708..286475),pantothenate kinase,T02583,
coo:CCU_02850,CDS,complement(286513..286878),hypothetical protein,T02583,
coo:CCU_02860,CDS,complement(286887..287642),dihydrodipicolinate reductase,T02583,
coo:CCU_02870,CDS,complement(287855..288739),dihydrodipicolinate synthase,T02583,
coo:CCU_02880,CDS,complement(288848..288955),hypothetical protein,T02583,
coo:CCU_02890,CDS,complement(289032..289100),hypothetical protein,T02583,
coo:CCU_02900,CDS,complement(289211..289843),Single-stranded DNA-binding protein,T02583,
coo:CCU_02920,CDS,complement(290759..294343),"DNA polymerase III catalytic subunit, DnaE type",T02583,
coo:CCU_02930,CDS,complement(294355..294900),hypothetical protein,T02583,
coo:CCU_T_29590,tRNA,complement(294972..295047),CCU_T_29590,T02583,
coo:CCU_02940,CDS,complement(295077..296342),hypothetical protein,T02583,
coo:CCU_02950,CDS,complement(296475..296966),hypothetical protein,T02583,
coo:CCU_02960,CDS,complement(297059..299779),Sel1 repeat.,T02583,
coo:CCU_02970,CDS,complement(299858..300118),Phosphotransferase System HPr (HPr) Family,T02583,
coo:CCU_02980,CDS,complement(300138..301088),conserved hypothetical protein,T02583,
coo:CCU_02990,CDS,complement(301121..301999),Predicted P-loop-containing kinase,T02583,
coo:CCU_03000,CDS,complement(302027..302941),UDP-N-acetylmuramate dehydrogenase,T02583,
coo:CCU_03010,CDS,complement(303233..304231),glucokinase,T02583,
coo:CCU_03020,CDS,complement(304232..305182),Hpr(Ser) kinase/phosphatase,T02583,
coo:CCU_03030,CDS,complement(305335..306729),hypothetical protein,T02583,
coo:CCU_03040,CDS,complement(306732..308291),hypothetical protein,T02583,
coo:CCU_03050,CDS,complement(308281..308853),"RNA polymerase sigma factor, sigma-70 family",T02583,
coo:CCU_03060,CDS,complement(309033..309851),Predicted integral membrane protein,T02583,
coo:CCU_03080,CDS,complement(310834..311775),"ABC-type sugar transport systems, permease components",T02583,
coo:CCU_03100,CDS,complement(314356..315981),ATPase components of ABC transporters with duplicated ATPase domains,T02583,
coo:CCU_03110,CDS,complement(316163..316345),hypothetical protein,T02583,
coo:CCU_03130,CDS,318302..319003,Domain of unknown function (DUF1836).,T02583,
coo:CCU_03140,CDS,complement(319121..319450),TrpR-related protein YerC/YecD,T02583,
coo:CCU_03150,CDS,complement(319518..321017),Glycosidases,T02583,
coo:CCU_03160,CDS,complement(321233..322450),LL-diaminopimelate aminotransferase apoenzyme,T02583,
coo:CCU_03190,CDS,complement(324372..325703),"glutamine synthetase, type I",T02583,
coo:CCU_03200,CDS,complement(325851..326621),hypothetical protein,T02583,
coo:CCU_03210,CDS,complement(326614..327531),"ABC-type multidrug transport system, ATPase component",T02583,
coo:CCU_03220,CDS,complement(327661..327924),SSU ribosomal protein S18P,T02583,
coo:CCU_03230,CDS,complement(327942..328394),single-strand binding protein,T02583,
coo:CCU_03240,CDS,complement(328411..328701),SSU ribosomal protein S6P,T02583,
coo:CCU_03280,CDS,complement(331542..333146),phosphoenolpyruvate carboxykinase (ATP),T02583,
coo:CCU_03290,CDS,complement(333388..334377),TrkA-C domain./Ion transport protein.,T02583,
coo:CCU_03300,CDS,complement(334424..334690),Outer membrane protein and related peptidoglycan-associated (lipo)proteins,T02583,
coo:CCU_03310,CDS,complement(335241..336722),SSS sodium solute transporter superfamily,T02583,
coo:CCU_03320,CDS,complement(337093..338418),phenylacetate-CoA ligase,T02583,
coo:CCU_03330,CDS,338861..339061,sulfur carrier protein ThiS,T02583,
coo:CCU_03340,CDS,339061..339831,thiazole-phosphate synthase,T02583,
coo:CCU_03360,CDS,340527..341438,tyrosine lyase ThiH,T02583,
coo:CCU_03370,CDS,341461..342108,thiamine-phosphate pyrophosphorylase,T02583,
coo:CCU_03380,CDS,342230..342679,Predicted transcriptional regulators,T02583,
coo:CCU_03410,CDS,complement(343864..344361),hypothetical protein,T02583,
coo:CCU_03420,CDS,complement(344913..345452),hypothetical protein,T02583,
coo:CCU_03430,CDS,complement(345612..346820),Predicted ATPase (AAA+ superfamily),T02583,
coo:CCU_03450,CDS,complement(347569..347682),hypothetical protein,T02583,
coo:CCU_03460,CDS,complement(347696..348022),hypothetical protein,T02583,
coo:CCU_03480,CDS,complement(348913..349215),hypothetical protein,T02583,
coo:CCU_03510,CDS,complement(351082..351597),hypothetical protein,T02583,
coo:CCU_03520,CDS,complement(351667..352086),SMI1 / KNR4 family.,T02583,
coo:CCU_03540,CDS,353866..354111,hypothetical protein,T02583,
coo:CCU_03560,CDS,complement(354411..354872),hypothetical protein,T02583,
coo:CCU_03570,CDS,complement(354969..355184),hypothetical protein,T02583,
coo:CCU_03580,CDS,complement(355253..356071),hypothetical protein,T02583,
coo:CCU_03590,CDS,356113..357237,hypothetical protein,T02583,
coo:CCU_03620,CDS,359521..360690,"Type IV secretory pathway, VirD4 components",T02583,
coo:CCU_03630,CDS,360776..361327,"Site-specific recombinases, DNA invertase Pin homologs",T02583,
coo:CCU_03660,CDS,362958..364187,hypothetical protein,T02583,
coo:CCU_03670,CDS,364190..364825,DNA primase (bacterial type),T02583,
coo:CCU_03700,CDS,366187..366351,hypothetical protein,T02583,
coo:CCU_03710,CDS,366464..366910,hypothetical protein,T02583,
coo:CCU_03720,CDS,complement(366907..367245),hypothetical protein,T02583,
coo:CCU_03730,CDS,367244..367843,"Type IV secretory pathway, VirD4 components",T02583,
coo:CCU_03740,CDS,368003..368155,hypothetical protein,T02583,
coo:CCU_03750,CDS,368145..368417,Acetyltransferase (GNAT) family.,T02583,
coo:CCU_03760,CDS,368423..368515,hypothetical protein,T02583,
coo:CCU_03780,CDS,368747..369802,FOG: Ankyrin repeat,T02583,
coo:CCU_03790,CDS,complement(369808..370419),hypothetical protein,T02583,
coo:CCU_03800,CDS,complement(370492..371313),O-Methyltransferase involved in polyketide biosynthesis,T02583,
coo:CCU_03810,CDS,complement(371294..371962),Transcriptional regulator,T02583,
coo:CCU_03840,CDS,373305..373826,Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit,T02583,
coo:CCU_03850,CDS,374099..374215,hypothetical protein,T02583,
coo:CCU_03860,CDS,374259..374708,hypothetical protein,T02583,
coo:CCU_03870,CDS,complement(374763..375014),Helix-turn-helix.,T02583,
coo:CCU_03880,CDS,375144..375488,hypothetical protein,T02583,
coo:CCU_03910,CDS,377128..377940,plasmid segregation actin-type ATPase ParM,T02583,
coo:CCU_03930,CDS,378440..379012,hypothetical protein,T02583,
coo:CCU_03960,CDS,381335..387760,Cna protein B-type domain.,T02583,
coo:CCU_03970,CDS,387795..388259,AIG2-like family.,T02583,
coo:CCU_03980,CDS,388256..389071,Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_03990,CDS,389306..390466,methionine adenosyltransferase,T02583,
coo:CCU_04000,CDS,390466..391437,hypothetical protein,T02583,
coo:CCU_04020,CDS,392282..393094,DNA modification methylase,T02583,
coo:CCU_04040,CDS,393710..394087,hypothetical protein,T02583,
coo:CCU_04050,CDS,394095..394175,hypothetical protein,T02583,
coo:CCU_04060,CDS,394214..394522,"Bacterial mobilisation protein (MobC)./Ribbon-helix-helix protein, copG family.",T02583,
coo:CCU_04070,CDS,394526..395815,Relaxase/Mobilisation nuclease domain.,T02583,
coo:CCU_04080,CDS,395821..396657,hypothetical protein,T02583,
coo:CCU_04090,CDS,396661..397599,hypothetical protein,T02583,
coo:CCU_04100,CDS,397697..398011,hypothetical protein,T02583,
coo:CCU_04110,CDS,398008..398106,hypothetical protein,T02583,
coo:CCU_04120,CDS,398129..398293,hypothetical protein,T02583,
coo:CCU_04160,CDS,401527..401880,hypothetical protein,T02583,
coo:CCU_04180,CDS,403503..405317,"ABC-type multidrug transport system, ATPase and permease components",T02583,
coo:CCU_04190,CDS,405320..407056,"ABC-type multidrug transport system, ATPase and permease components",T02583,
coo:CCU_04210,CDS,407569..407982,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",T02583,
coo:CCU_04220,CDS,408086..408538,hypothetical protein,T02583,
coo:CCU_04240,CDS,409038..409328,hypothetical protein,T02583,
coo:CCU_04250,CDS,409411..410961,plasmid mobilization system relaxase,T02583,
coo:CCU_04260,CDS,complement(411068..411358),"addiction module toxin, RelE/StbE family",T02583,
coo:CCU_04270,CDS,complement(411355..411633),"addiction module antitoxin, RelB/DinJ family",T02583,
coo:CCU_04280,CDS,411760..412158,hypothetical protein,T02583,
coo:CCU_04290,CDS,412272..413024,"phage replisome organizer, putative, N-terminal region",T02583,
coo:CCU_04300,CDS,413021..413884,phage DNA replication protein (predicted replicative helicase loader),T02583,
coo:CCU_04310,CDS,413928..414122,hypothetical protein,T02583,
coo:CCU_04320,CDS,414200..414565,hypothetical protein,T02583,
coo:CCU_04330,CDS,complement(414637..414897),hypothetical protein,T02583,
coo:CCU_04340,CDS,414880..415494,"Type IV secretory pathway, VirD4 components",T02583,
coo:CCU_04350,CDS,415494..415868,hypothetical protein,T02583,
coo:CCU_04370,CDS,416611..417651,hypothetical protein,T02583,
coo:CCU_04380,CDS,418078..419043,Plasmid recombination enzyme.,T02583,
coo:CCU_04400,CDS,419951..420175,Uncharacterized protein conserved in bacteria,T02583,
coo:CCU_04410,CDS,420198..420389,hypothetical protein,T02583,
coo:CCU_04420,CDS,420390..422078,"Site-specific recombinases, DNA invertase Pin homologs",T02583,
coo:CCU_04430,CDS,422053..422220,hypothetical protein,T02583,
coo:CCU_04440,CDS,422235..422609,hypothetical protein,T02583,
coo:CCU_04480,CDS,425280..425753,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog",T02583,
coo:CCU_04490,CDS,425826..426437,hypothetical protein,T02583,
coo:CCU_04500,CDS,426450..426887,hypothetical protein,T02583,
coo:CCU_04510,CDS,426896..427330,hypothetical protein,T02583,
coo:CCU_04520,CDS,427317..429653,Domain of unknown function DUF87.,T02583,
coo:CCU_04540,CDS,complement(431914..432912),AraC-type DNA-binding domain-containing proteins,T02583,
